bot,browser,browser_version,city,country,cpu_architecture,device,device_model,device_vendor,domain,engine,engine_version,key,latitude,longitude,os,os_version,referrer,region,timestamp,ua
1,Avant Browser,17.0.851.0,North Paris,NZ,Alpha (DEC Alpha),Embedded,OnePlus,Nokia,weel.vercel.app,Dillo,3.1,github,-75.7288,-20.8779,Chrome OS,6.2,authorized-tepee.name,Oklahoma,1690755754977,"Mozilla/5.0 (Windows; U; Windows NT 6.2)AppleWebKit/535.1.1 (KHTML, like Gecko) Version/4.0.9 Safari/535.1.1"
0,Midori,14.0.867.0,Kendale Lakes,OM,Alpha (DEC Alpha),Desktop,Xiaomi Mi Pad,Nokia,weel.vercel.app,Quantum,5.1,github,27.6358,-154.5531,FreeBSD,6.3,merry-upgrade.biz,Ohio,1676435934038,"Mozilla/5.0 (Windows; U; Windows NT 6.2)AppleWebKit/535.0.0 (KHTML, like Gecko) Version/5.0.3 Safari/535.0.0"
0,Waterfox,27.0.844.0,Stantonstad,SO,MIPS,Desktop,Samsung Galaxy S,Huawei,weel.vercel.app,Dillo,7.0,github,28.3042,39.1069,Debian,5.3,biodegradable-meat.biz,Idaho,1683254637490,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_4 rv:4.0; NO) AppleWebKit/535.1.1 (KHTML, like Gecko) Version/7.1.4 Safari/535.1.1"
0,Maxthon,19.0.828.0,Ariannaview,GW,Alpha (DEC Alpha),Console,Amazon Fire HD,Huawei,weel.vercel.app,Tasman,7.0,github,-16.1204,53.2525,Unix,6.2,(direct),Arizona,1675384092112,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.1)
1,Mozilla Firefox,21.0.885.0,Brendenmouth,GM,ARM,SmartTV,OnePlus,Vivo,weel.vercel.app,Dillo,6.1,github,-53.7813,-160.0368,HP-UX (Hewlett Packard Unix),6.1,glossy-perch.net,Tennessee,1689477832228,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_6 rv:6.0; CA) AppleWebKit/536.0.0 (KHTML, like Gecko) Version/5.1.8 Safari/536.0.0"
0,Safari,22.0.811.0,New Evangelineboro,BZ,x86-64,Mobile,Microsoft Surface Pro,Ulefone,weel.vercel.app,Chromium,7.0,github,-3.5605,109.6407,Android,5.1,important-wriggler.org,Iowa,1675233892864,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_3 rv:5.0; HE) AppleWebKit/531.2.0 (KHTML, like Gecko) Version/4.0.3 Safari/531.2.0"
0,Slimjet,30.0.857.0,Lake Monteburgh,MK,SuperH,SmartTV,Apple iPad,ZTE,weel.vercel.app,Goanna,6.0,github,52.9842,-95.0603,Solaris,6.3,pushy-utilisation.org,Rhode Island,1675788080761,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.1)
0,Yandex Browser,19.0.801.0,Funkstead,KI,Alpha (DEC Alpha),Console,Sony Xperia Tablet,Sony,weel.vercel.app,Gecko,6.0,github,-64.3621,-91.9002,AIX (IBM),5.3,gleeful-assistant.biz,Kansas,1692229726666,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
0,Opera,26.0.887.0,Kuphalton,CO,RISC-V,Tablet,Microsoft Surface Studio,Ulefone,weel.vercel.app,Trident,7.0,github,47.368,94.6871,Debian,6.2,agonizing-inspector.org,Missouri,1688286139156,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 5.0; Trident/3.0)
0,Safari,26.0.899.0,Pasco,BM,SPARC,Console,Samsung Galaxy Note,Google,weel.vercel.app,Links,6.0,github,-59.5965,46.2771,iOS,5.2,full-wick.net,Missouri,1685579135150,Opera/11.76 (Windows NT 5.3; U; KY Presto/2.9.161 Version/11.00)
0,Maxthon,15.0.850.0,Osinskiport,BI,MIPS,Embedded,HP Pavilion,LG,weel.vercel.app,Tasman,3.0,github,-44.9949,92.7332,Ubuntu,5.1,truthful-flesh.info,New Hampshire,1671556574758,"Mozilla/5.0 (Windows; U; Windows NT 5.3)AppleWebKit/532.0.0 (KHTML, like Gecko) Version/6.1.7 Safari/532.0.0"
1,Chromium,21.0.855.0,Port Verdacester,OM,Motorola 68k,Wearable,Oppo Find,ASUS,weel.vercel.app,Lynx,6.0,github,29.1961,74.7107,Arch Linux,5.1,rusty-generator.org,Massachusetts,1697037060426,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; Trident/4.1; .NET CLR 2.5.90284.8)
0,Midori,33.0.818.0,East Caesar,TD,SPARC,Mobile,ASUS ROG,ASUS,weel.vercel.app,Lynx,4.0,github,-0.2307,-154.5474,iOS,6.0,(direct),Illinois,1700989743172,Opera/9.42 (Windows NT 6.3; U; IS Presto/2.9.190 Version/11.00)
0,Opera,30.0.881.0,Cleveland Heights,PY,MIPS,Tablet,ASUS ROG,Xiaomi,weel.vercel.app,Presto,6.0,github,-20.4824,159.6784,Windows,5.1,wiry-inequality.info,Massachusetts,1693315442986,"Mozilla/5.0 (Windows; U; Windows NT 5.0)AppleWebKit/533.0.1 (KHTML, like Gecko) Version/4.1.4 Safari/533.0.1"
0,Epic Privacy Browser,39.0.822.0,Douglasberg,OM,SuperH,Desktop,Xiaomi Mi,Apple,weel.vercel.app,Servo,5.1,github,-10.8259,33.0883,Debian,6.1,clueless-plaintiff.name,Michigan,1673900000522,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_3)  AppleWebKit/533.1.2 (KHTML, like Gecko) Chrome/16.0.810.0 Safari/533.1.2"
0,Midori,33.0.820.0,Boehmside,TW,MIPS,Embedded,Amazon Fire HD,LG,weel.vercel.app,Quantum,3.0,github,77.4539,4.2506,Android,6.0,judicious-ascend.info,Michigan,1692078209219,"Mozilla/5.0 (Windows; U; Windows NT 5.2)AppleWebKit/534.0.0 (KHTML, like Gecko) Version/4.1.1 Safari/534.0.0"
0,Pale Moon,28.0.830.0,New Nigel,LV,SPARC,SmartTV,Xiaomi Mi Pad,Huawei,weel.vercel.app,Otter,7.0,github,-15.4835,128.2547,iOS,5.1,superior-encouragement.com,Pennsylvania,1696616474068,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; Trident/6.0; .NET CLR 1.3.42337.2)
0,Epic Privacy Browser,39.0.858.0,Port Meaghan,LU,Itanium (Intel IA-64),Mobile,Samsung Galaxy Note,BlackBerry,weel.vercel.app,Tasman,6.0,github,48.5285,-34.9893,AIX (IBM),5.2,fragrant-hovel.name,Oklahoma,1694319853937,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.3; Trident/5.0)
0,Midori,28.0.848.0,South Blaise,IR,SPARC,Embedded,OnePlus,HTC,weel.vercel.app,KHTML,6.0,github,-49.717,66.317,FreeBSD,6.1,(direct),Wyoming,1675691144315,"Mozilla/5.0 (Windows; U; Windows NT 6.1)AppleWebKit/535.2.1 (KHTML, like Gecko) Version/7.1.2 Safari/535.2.1"
0,Safari,18.0.878.0,North Walterstad,RO,Itanium (Intel IA-64),SmartTV,Samsung Galaxy S,Huawei,weel.vercel.app,Gecko,7.0,github,18.6436,-88.8406,Mint,5.1,these-ham.biz,New Mexico,1678949310215,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/538.0.1 (KHTML, like Gecko) Chrome/21.0.829.0 Safari/538.0.1"
1,Google Chrome,17.0.836.0,Schummberg,PK,Motorola 68k,Desktop,Alienware Aurora,Meizu,weel.vercel.app,WebKit,4.1,github,41.3751,76.9892,Linux,5.1,pitiful-contest.net,Pennsylvania,1694416211315,"Mozilla/5.0 (X11; Linux x86_64 AppleWebKit/537.0.2 (KHTML, like Gecko) Chrome/39.0.870.0 Safari/537.0.2"
0,Pale Moon,13.0.840.0,East Los Angeles,BD,Alpha (DEC Alpha),Wearable,Xiaomi Mi,Nokia,weel.vercel.app,KHTML,4.0,github,-89.4642,-35.7857,Arch Linux,6.3,jam-packed-peace.com,Nebraska,1673836938028,"Mozilla/5.0 (Windows; U; Windows NT 5.1)AppleWebKit/531.1.1 (KHTML, like Gecko) Version/5.0.7 Safari/531.1.1"
0,Safari,37.0.808.0,North Neilborough,HR,RISC-V,Embedded,Dell Inspiron,BlackBerry,weel.vercel.app,WebKit,4.1,github,-77.5605,-35.3681,SUSE Linux,6.2,(direct),Massachusetts,1675859115163,Mozilla/5.0 (X11; Linux x86_64; rv:7.4) Gecko/20100101 Firefox/7.4.6
1,Waterfox,13.0.808.0,Jovanihaven,GB,RISC-V,Wearable,ASUS ROG,LG,weel.vercel.app,Otter,5.1,github,84.4482,-137.3317,iOS,6.2,(direct),Maryland,1693376145843,Mozilla/5.0 (X11; Linux x86_64; rv:6.4) Gecko/20100101 Firefox/6.4.0
1,Chromium,29.0.816.0,Barrowschester,GA,ARM,Wearable,Acer Aspire,LG,weel.vercel.app,Chromium,4.0,github,19.0897,-135.2939,OpenBSD,6.2,famous-labourer.info,Nevada,1681186485789,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.10.0; rv:11.8) Gecko/20100101 Firefox/11.8.1
0,Pale Moon,18.0.891.0,East Unaborough,GY,Itanium (Intel IA-64),Desktop,Lenovo Tab,Oppo,weel.vercel.app,Presto,5.1,github,-82.7765,167.9931,Android,5.3,pale-urn.info,Louisiana,1698347193477,Mozilla/5.0 (X11; Linux x86_64; rv:13.9) Gecko/20100101 Firefox/13.9.5
0,Brave,39.0.895.0,Baumbachville,SC,MIPS,Embedded,Realme,Sony,weel.vercel.app,Quantum,6.0,github,84.4202,166.929,HP-UX (Hewlett Packard Unix),6.0,steel-counselling.net,Connecticut,1681376618229,Opera/11.56 (Macintosh; Intel Mac OS X 10.10.3 U; LI Presto/2.9.164 Version/12.00)
0,Chromium,25.0.845.0,Germanmouth,CC,RISC-V,Mobile,Lenovo ThinkCentre,Samsung,weel.vercel.app,EdgeHTML,5.0,github,14.6834,158.2986,Chrome OS,5.2,understated-pint.info,Iowa,1701315124355,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_1 rv:4.0; SW) AppleWebKit/532.2.2 (KHTML, like Gecko) Version/6.0.6 Safari/532.2.2"
1,Opera,18.0.811.0,Orenfort,GY,x86-64,Tablet,Amazon Fire HD,Samsung,weel.vercel.app,Trident,6.1,github,-18.5847,-159.6955,Unix,5.2,beautiful-mailman.info,North Dakota,1698801296928,"Mozilla/5.0 (X11; Linux i686 AppleWebKit/533.0.0 (KHTML, like Gecko) Chrome/17.0.831.0 Safari/533.0.0"
1,Slimjet,19.0.839.0,La Habra,CU,Power Architecture,Mobile,Realme,Samsung,weel.vercel.app,EdgeHTML,6.0,github,59.8884,-26.4305,macOS,5.3,frightened-kimono.biz,Wyoming,1692912909226,Opera/10.84 (Macintosh; Intel Mac OS X 10.8.2 U; FI Presto/2.9.171 Version/10.00)
1,Yandex Browser,38.0.870.0,Smithburgh,JP,Alpha (DEC Alpha),Wearable,Apple iPhone SE,OnePlus,weel.vercel.app,WebKit,3.1,github,-3.311,108.1995,Android,6.0,(direct),Mississippi,1693992519880,Mozilla/5.0 (Windows NT 6.0; rv:12.7) Gecko/20100101 Firefox/12.7.0
0,Waterfox,31.0.810.0,Honolulu,KZ,RISC-V,Wearable,Samsung Galaxy Tab,Vivo,weel.vercel.app,Trident/NetFront,4.0,github,38.4565,13.4779,Ubuntu,5.3,brilliant-bandolier.com,Maine,1689463506332,"Mozilla/5.0 (X11; Linux i686 AppleWebKit/537.0.1 (KHTML, like Gecko) Chrome/27.0.808.0 Safari/537.0.1"
1,Microsoft Edge,27.0.814.0,North Queen,SI,ARM,Console,Oppo Find,BlackBerry,weel.vercel.app,Trident,4.0,github,11.8488,94.5505,Fedora,6.0,unfolded-hype.biz,New Mexico,1683570276552,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_4)  AppleWebKit/534.1.0 (KHTML, like Gecko) Chrome/13.0.844.0 Safari/534.1.0"
0,Opera,33.0.868.0,North Melvin,GW,ARM,SmartTV,Dell Inspiron,Lenovo,weel.vercel.app,Presto,7.1,github,-58.1427,-23.8896,OpenBSD,6.0,(direct),Oregon,1672153973267,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_3)  AppleWebKit/536.1.0 (KHTML, like Gecko) Chrome/24.0.857.0 Safari/536.1.0"
0,Slimjet,37.0.815.0,Scarlettchester,FR,SuperH,Embedded,Oppo Find,BlackBerry,weel.vercel.app,Servo,5.0,github,71.75,80.6296,OpenBSD,6.3,irresponsible-steel.name,Rhode Island,1699060513287,Opera/12.55 (Macintosh; Intel Mac OS X 10.8.7 U; MG Presto/2.9.187 Version/11.00)
0,Brave,25.0.897.0,Port Daijaboro,SG,SuperH,Embedded,Samsung Galaxy S,Xiaomi,weel.vercel.app,NetSurf,5.1,github,-2.6642,55.9344,Arch Linux,6.2,adept-carport.name,Colorado,1685371734348,Opera/12.7 (Windows NT 6.0; U; AZ Presto/2.9.179 Version/12.00)
0,Slimjet,29.0.821.0,Metzside,BM,SuperH,Wearable,Samsung Galaxy Tab,Huawei,weel.vercel.app,Quantum,3.0,github,79.8599,81.3211,Android,6.0,(direct),Ohio,1682038874111,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1)
0,Slimjet,27.0.818.0,New Ewaldberg,FI,Itanium (Intel IA-64),Desktop,Dell Inspiron,Google,weel.vercel.app,Presto,3.1,github,43.9752,-81.7049,Mint,6.1,loose-life.biz,Mississippi,1687416069015,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7.4; rv:15.2) Gecko/20100101 Firefox/15.2.5
0,Maxthon,27.0.899.0,Reno,UA,Power Architecture,Tablet,Huawei P,HTC,weel.vercel.app,Tasman,5.1,github,48.4577,168.6984,OpenBSD,5.3,lovely-parsnip.com,California,1690754827836,"Mozilla/5.0 (Windows; U; Windows NT 5.1)AppleWebKit/535.1.0 (KHTML, like Gecko) Version/4.1.9 Safari/535.1.0"
0,Epic Privacy Browser,21.0.842.0,Saginaw,JM,Motorola 68k,Desktop,Apple iPhone,Nokia,weel.vercel.app,Lynx,3.0,github,39.8164,-118.4961,Linux,5.3,vain-tiger.net,Pennsylvania,1686041115723,Opera/12.36 (X11; Linux x86_64; U; GL Presto/2.9.189 Version/12.00)
0,Slimjet,34.0.857.0,Dareboro,BI,SuperH,Embedded,Lenovo Tab,Samsung,weel.vercel.app,Otter,3.1,github,-46.2501,46.6471,Mint,5.0,(direct),North Carolina,1683805789612,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_6 rv:5.0; AN) AppleWebKit/532.2.1 (KHTML, like Gecko) Version/5.0.3 Safari/532.2.1"
0,Waterfox,24.0.845.0,Claireborough,EC,Alpha (DEC Alpha),Tablet,Huawei MediaPad,HTC,weel.vercel.app,Tasman,3.1,github,88.6075,22.2709,Windows,5.2,ideal-stumbling.info,Vermont,1675344610900,Mozilla/5.0 (Windows NT 6.0; Win64; x64; rv:11.7) Gecko/20100101 Firefox/11.7.5
0,Brave,24.0.842.0,Lake Tatum,GQ,SPARC,Tablet,Xiaomi Mi,HTC,weel.vercel.app,Goanna,5.0,github,70.1767,97.563,Ubuntu,6.2,(direct),Minnesota,1692837192014,Mozilla/5.0 (X11; Linux x86_64; rv:7.2) Gecko/20100101 Firefox/7.2.3
0,Internet Explorer,22.0.865.0,Carolina,GF,ARM,Desktop,OnePlus,Alcatel,weel.vercel.app,Gecko,7.1,github,86.747,125.4455,Mint,5.2,nutty-accelerator.net,Rhode Island,1700202456285,Opera/9.7 (Windows NT 5.3; U; CE Presto/2.9.169 Version/12.00)
1,Opera,16.0.809.0,Fort Aidenberg,NC,RISC-V,Wearable,MSI Infinite,Motorola,weel.vercel.app,Tasman,5.1,github,13.5877,26.5994,CentOS,5.2,(direct),New Jersey,1688371355586,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.3; Trident/6.0; .NET CLR 3.0.93189.5)
1,Maxthon,38.0.896.0,New Amina,AM,Power Architecture,Wearable,Lenovo ThinkCentre,Samsung,weel.vercel.app,Trident/NetFront,5.1,github,-82.3982,118.1233,HP-UX (Hewlett Packard Unix),5.1,discrete-geek.name,West Virginia,1679893936077,"Mozilla/5.0 (X11; Linux i686 AppleWebKit/538.2.0 (KHTML, like Gecko) Chrome/13.0.884.0 Safari/538.2.0"
0,Pale Moon,14.0.866.0,Midwest City,SO,Power Architecture,Console,Acer Aspire,HTC,weel.vercel.app,Otter,3.1,github,37.1666,176.1098,HP-UX (Hewlett Packard Unix),6.3,bold-arrow.info,Maryland,1685422761497,Opera/13.32 (X11; Linux x86_64; U; GD Presto/2.9.170 Version/10.00)
0,Brave,27.0.827.0,Oklahoma City,PA,x86-64,SmartTV,MSI Infinite,Huawei,weel.vercel.app,Links,7.0,github,63.3353,-110.8579,Linux,5.3,(direct),Nebraska,1694053531132,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_5)  AppleWebKit/533.1.0 (KHTML, like Gecko) Chrome/25.0.867.0 Safari/533.1.0"
1,Maxthon,18.0.879.0,Faustoville,NL,Motorola 68k,Wearable,Amazon Fire HD,HTC,weel.vercel.app,Blink,6.0,github,58.2817,-175.4738,FreeBSD,6.0,(direct),Oregon,1672648949778,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_0 rv:6.0; MG) AppleWebKit/533.0.0 (KHTML, like Gecko) Version/6.1.6 Safari/533.0.0"
0,Chromium,32.0.844.0,East Felipa,BQ,Alpha (DEC Alpha),Desktop,Samsung Galaxy S,Huawei,weel.vercel.app,SlimerJS,6.0,github,-10.1152,-77.7779,Chrome OS,5.2,venerated-farming.net,Texas,1678480637824,Mozilla/5.0 (X11; Linux i686; rv:9.5) Gecko/20100101 Firefox/9.5.9
0,Vivaldi,32.0.892.0,Fort Alessia,MZ,SuperH,Tablet,Huawei MediaPad,ASUS,weel.vercel.app,Trident/NetFront,5.0,github,7.1295,-77.6623,FreeBSD,6.3,ajar-fugato.biz,Montana,1686130221073,"Mozilla/5.0 (X11; Linux i686 AppleWebKit/536.0.1 (KHTML, like Gecko) Chrome/25.0.887.0 Safari/536.0.1"
0,Epic Privacy Browser,15.0.864.0,Macejkovicmouth,CH,Motorola 68k,Tablet,OnePlus,Apple,weel.vercel.app,KHTML,7.1,github,-72.6064,125.2885,Android,6.3,clear-cut-offense.info,Wisconsin,1679946878288,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/3.1; .NET CLR 4.9.40716.0)
0,Epic Privacy Browser,18.0.818.0,McDermottfield,TF,Motorola 68k,Embedded,Huawei MediaPad,Sony,weel.vercel.app,Goanna,4.1,github,-16.3676,116.1906,FreeBSD,5.3,wonderful-silly.org,Maine,1696191018566,"Mozilla/5.0 (Windows; U; Windows NT 5.3)AppleWebKit/535.0.1 (KHTML, like Gecko) Version/4.1.10 Safari/535.0.1"
1,Pale Moon,21.0.899.0,Junefield,SZ,Itanium (Intel IA-64),Embedded,OnePlus,Alcatel,weel.vercel.app,Presto,5.0,github,-27.9942,-151.0967,Red Hat Enterprise Linux,6.3,nervous-film.info,Nevada,1696161002285,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/7.1; .NET CLR 4.4.52916.2)
0,UC Browser,20.0.898.0,North Laney,FJ,Alpha (DEC Alpha),Embedded,Huawei P,OnePlus,weel.vercel.app,Lynx,5.1,github,19.1565,124.2773,Mint,6.1,(direct),Hawaii,1696488425569,Mozilla/5.0 (X11; Linux i686; rv:5.4) Gecko/20100101 Firefox/5.4.8
0,Epic Privacy Browser,24.0.878.0,Parisianton,AR,SuperH,Wearable,Alienware Aurora,Apple,weel.vercel.app,Trident,7.1,github,-7.3622,127.9248,Ubuntu,6.0,(direct),Nebraska,1696182097100,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_6 rv:6.0; PL) AppleWebKit/533.0.2 (KHTML, like Gecko) Version/5.1.7 Safari/533.0.2"
0,Opera,22.0.803.0,Lillianaboro,ML,Motorola 68k,Wearable,Apple iPad,Lenovo,weel.vercel.app,WebKit,5.0,github,49.0884,120.0411,Red Hat Enterprise Linux,6.3,(direct),Delaware,1694118896015,"Mozilla/5.0 (Windows; U; Windows NT 5.3)AppleWebKit/533.2.0 (KHTML, like Gecko) Version/6.1.8 Safari/533.2.0"
1,Seamonkey,18.0.817.0,Port Betsyport,FI,SuperH,SmartTV,Google Pixel Slate,Alcatel,weel.vercel.app,NetSurf,5.0,github,71.2464,-43.815,Debian,5.1,(direct),Alaska,1698143415775,Opera/10.91 (X11; Linux i686; U; GV Presto/2.9.170 Version/11.00)
1,Avant Browser,25.0.870.0,East Elise,CR,Alpha (DEC Alpha),SmartTV,Xiaomi Mi,BlackBerry,weel.vercel.app,NetSurf,5.1,github,83.4771,-70.9112,OpenBSD,6.0,(direct),Maryland,1682264082222,"Mozilla/5.0 (Windows; U; Windows NT 6.3) AppleWebKit/531.0.2 (KHTML, like Gecko) Chrome/20.0.898.0 Safari/531.0.2"
0,Epic Privacy Browser,34.0.808.0,Daly City,SG,SPARC,Wearable,ASUS ZenPad,Ulefone,weel.vercel.app,Tasman,3.0,github,-61.1662,-16.4992,Arch Linux,6.0,surprised-exclamation.name,New Mexico,1700708288862,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_1 rv:4.0; GD) AppleWebKit/532.0.0 (KHTML, like Gecko) Version/6.0.4 Safari/532.0.0"
0,UC Browser,22.0.886.0,New Cade,ZW,SuperH,Console,ASUS ROG,ZTE,weel.vercel.app,Quantum,6.0,github,-14.6483,-118.1176,OpenBSD,6.1,worrisome-ride.name,Alabama,1693471896699,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:13.1) Gecko/20100101 Firefox/13.1.0
0,Mozilla Firefox,27.0.887.0,South Shainaberg,ZA,Alpha (DEC Alpha),Tablet,Apple iPhone,Meizu,weel.vercel.app,Dillo,7.1,github,-57.3019,-95.7986,Linux,6.3,well-to-do-tongue.info,Vermont,1694020638952,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5.4; rv:15.1) Gecko/20100101 Firefox/15.1.5
0,Yandex Browser,25.0.876.0,Schultzstad,KP,ARM,Mobile,Acer Aspire,Alcatel,weel.vercel.app,SlimerJS,4.1,github,38.1281,-177.9899,macOS,5.3,(direct),Hawaii,1694091435623,"Mozilla/5.0 (Windows; U; Windows NT 5.1)AppleWebKit/531.1.0 (KHTML, like Gecko) Version/5.1.1 Safari/531.1.0"
0,UC Browser,28.0.872.0,Angusfield,KZ,x86-64,Desktop,Huawei MediaPad,ZTE,weel.vercel.app,Servo,4.1,github,9.1084,48.6633,Arch Linux,5.2,cheery-king.name,New Mexico,1680772882421,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/7.1; .NET CLR 4.9.72115.5)
